sess	run	half	net_id	names
ses-rest1	1	1	1	Network_1
ses-rest1	1	1	2	Network_2
ses-rest1	1	1	3	Network_3
ses-rest1	1	1	4	Network_4
ses-rest1	1	1	5	Network_5
ses-rest1	1	1	6	Network_6
ses-rest1	1	1	7	Network_7
ses-rest1	1	1	8	Network_8
ses-rest1	1	1	9	Network_9
ses-rest1	1	1	10	Network_10
ses-rest1	1	1	11	Network_11
ses-rest1	1	1	12	Network_12
ses-rest1	1	1	13	Network_13
ses-rest1	1	1	14	Network_14
ses-rest1	1	1	15	Network_15
ses-rest1	1	1	16	Network_16
ses-rest1	1	1	17	Network_17
ses-rest1	1	1	18	Network_18
ses-rest1	1	1	19	Network_19
ses-rest1	1	1	20	Network_20
ses-rest1	1	1	21	Network_21
ses-rest1	1	1	22	Network_22
ses-rest1	1	1	23	Network_23
ses-rest1	1	1	24	Network_24
ses-rest1	1	1	25	Network_25
ses-rest1	1	1	26	Network_26
ses-rest1	1	1	27	Network_27
ses-rest1	1	1	28	Network_28
ses-rest1	1	1	29	Network_29
ses-rest1	1	1	30	Network_30
ses-rest1	1	1	31	Network_31
ses-rest1	1	1	32	Network_32
ses-rest1	1	1	33	Network_33
ses-rest1	1	1	34	Network_34
ses-rest1	1	1	35	Network_35
ses-rest1	1	1	36	Network_36
ses-rest1	1	1	37	Network_37
ses-rest1	1	1	38	Network_38
ses-rest1	1	1	39	Network_39
ses-rest1	1	1	40	Network_40
ses-rest1	1	1	41	Network_41
ses-rest1	1	1	42	Network_42
ses-rest1	1	1	43	Network_43
ses-rest1	1	1	44	Network_44
ses-rest1	1	1	45	Network_45
ses-rest1	1	1	46	Network_46
ses-rest1	1	1	47	Network_47
ses-rest1	1	1	48	Network_48
ses-rest1	1	1	49	Network_49
ses-rest1	1	1	50	Network_50
ses-rest1	1	1	51	Network_51
ses-rest1	1	1	52	Network_52
ses-rest1	1	1	53	Network_53
ses-rest1	1	1	54	Network_54
ses-rest1	1	1	55	Network_55
ses-rest1	1	1	56	Network_56
ses-rest1	1	1	57	Network_57
ses-rest1	1	1	58	Network_58
ses-rest1	1	1	59	Network_59
ses-rest1	1	1	60	Network_60
ses-rest1	1	1	61	Network_61
ses-rest1	1	1	62	Network_62
ses-rest1	1	1	63	Network_63
ses-rest1	1	1	64	Network_64
ses-rest1	1	1	65	Network_65
ses-rest1	1	1	66	Network_66
ses-rest1	1	1	67	Network_67
ses-rest1	1	1	68	Network_68
ses-rest1	1	1	69	Network_69
ses-rest1	2	2	1	Network_1
ses-rest1	2	2	2	Network_2
ses-rest1	2	2	3	Network_3
ses-rest1	2	2	4	Network_4
ses-rest1	2	2	5	Network_5
ses-rest1	2	2	6	Network_6
ses-rest1	2	2	7	Network_7
ses-rest1	2	2	8	Network_8
ses-rest1	2	2	9	Network_9
ses-rest1	2	2	10	Network_10
ses-rest1	2	2	11	Network_11
ses-rest1	2	2	12	Network_12
ses-rest1	2	2	13	Network_13
ses-rest1	2	2	14	Network_14
ses-rest1	2	2	15	Network_15
ses-rest1	2	2	16	Network_16
ses-rest1	2	2	17	Network_17
ses-rest1	2	2	18	Network_18
ses-rest1	2	2	19	Network_19
ses-rest1	2	2	20	Network_20
ses-rest1	2	2	21	Network_21
ses-rest1	2	2	22	Network_22
ses-rest1	2	2	23	Network_23
ses-rest1	2	2	24	Network_24
ses-rest1	2	2	25	Network_25
ses-rest1	2	2	26	Network_26
ses-rest1	2	2	27	Network_27
ses-rest1	2	2	28	Network_28
ses-rest1	2	2	29	Network_29
ses-rest1	2	2	30	Network_30
ses-rest1	2	2	31	Network_31
ses-rest1	2	2	32	Network_32
ses-rest1	2	2	33	Network_33
ses-rest1	2	2	34	Network_34
ses-rest1	2	2	35	Network_35
ses-rest1	2	2	36	Network_36
ses-rest1	2	2	37	Network_37
ses-rest1	2	2	38	Network_38
ses-rest1	2	2	39	Network_39
ses-rest1	2	2	40	Network_40
ses-rest1	2	2	41	Network_41
ses-rest1	2	2	42	Network_42
ses-rest1	2	2	43	Network_43
ses-rest1	2	2	44	Network_44
ses-rest1	2	2	45	Network_45
ses-rest1	2	2	46	Network_46
ses-rest1	2	2	47	Network_47
ses-rest1	2	2	48	Network_48
ses-rest1	2	2	49	Network_49
ses-rest1	2	2	50	Network_50
ses-rest1	2	2	51	Network_51
ses-rest1	2	2	52	Network_52
ses-rest1	2	2	53	Network_53
ses-rest1	2	2	54	Network_54
ses-rest1	2	2	55	Network_55
ses-rest1	2	2	56	Network_56
ses-rest1	2	2	57	Network_57
ses-rest1	2	2	58	Network_58
ses-rest1	2	2	59	Network_59
ses-rest1	2	2	60	Network_60
ses-rest1	2	2	61	Network_61
ses-rest1	2	2	62	Network_62
ses-rest1	2	2	63	Network_63
ses-rest1	2	2	64	Network_64
ses-rest1	2	2	65	Network_65
ses-rest1	2	2	66	Network_66
ses-rest1	2	2	67	Network_67
ses-rest1	2	2	68	Network_68
ses-rest1	2	2	69	Network_69
